dataset,stutter_type,classifier,feature_type,f1_score,source,doi
sep28k,prolongation,LSTM,CQT-LTAS,0.7949,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,LSTM,GT-LTAS,0.7555,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,LSTM,GT-LTAS,0.6143,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,LSTM,GT-LTAS,0.7928,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,LSTM,GT-LTAS,0.7622,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,LSTM,GT-LTAS,0.7862,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,LSTM,SFF-LTAS,0.7017,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,LSTM,SFF-LTAS,0.7476,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,LSTM,SFF-LTAS,0.7859,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,LSTM,SFF-LTAS,0.7290,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,LSTM,SFF-LTAS,0.6020,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,LSTM,MFCC,0.5585,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,LSTM,MFCC,0.6173,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,LSTM,MFCC,0.6427,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,LSTM,MFCC,0.6929,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,LSTM,MFCC,0.6851,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,LSTM,ZTWCC,0.6593,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,LSTM,ZTWCC,0.6337,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,LSTM,ZTWCC,0.7099,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,LSTM,ZTWCC,0.7061,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,LSTM,ZTWCC,0.7175,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,Bi-LSTM,LTAS,0.6665,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,Bi-LSTM,LTAS,0.6402,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,Bi-LSTM,LTAS,0.6466,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,Bi-LSTM,LTAS,0.6059,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,Bi-LSTM,LTAS,0.6628,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,Bi-LSTM,CQT-LTAS,0.7516,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,Bi-LSTM,CQT-LTAS,0.7644,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,Bi-LSTM,CQT-LTAS,0.7760,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,Bi-LSTM,CQT-LTAS,0.7905,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,Bi-LSTM,CQT-LTAS,0.7789,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,Bi-LSTM,GT-LTAS,0.7341,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,Bi-LSTM,GT-LTAS,0.7153,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,Bi-LSTM,GT-LTAS,0.7149,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,Bi-LSTM,GT-LTAS,0.7363,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,Bi-LSTM,GT-LTAS,0.7688,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,Bi-LSTM,SFF-LTAS,0.7259,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,Bi-LSTM,SFF-LTAS,0.7346,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,Bi-LSTM,SFF-LTAS,0.7468,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,Bi-LSTM,SFF-LTAS,0.7006,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,Bi-LSTM,SFF-LTAS,0.6910,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,Bi-LSTM,MFCC,0.7129,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,Bi-LSTM,MFCC,0.7109,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,Bi-LSTM,MFCC,0.7105,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,Bi-LSTM,MFCC,0.6977,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,Bi-LSTM,MFCC,0.7242,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,block,Bi-LSTM,ZTWCC,0.7223,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,interjection,Bi-LSTM,ZTWCC,0.7116,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,soundrep,Bi-LSTM,ZTWCC,0.7128,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,wordrep,Bi-LSTM,ZTWCC,0.7005,[PAPER],10.1109/ICASSP49660.2025.10888625
sep28k,prolongation,Bi-LSTM,ZTWCC,0.7468,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,block,SVM,CQT-LTAS,0.6267,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,interjection,SVM,CQT-LTAS,0.6513,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,soundrep,SVM,CQT-LTAS,0.6291,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,wordrep,SVM,CQT-LTAS,0.6936,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,prolongation,SVM,CQT-LTAS,0.6132,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,block,SVM,GT-LTAS,0.5412,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,interjection,SVM,GT-LTAS,0.6725,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,soundrep,SVM,GT-LTAS,0.5312,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,wordrep,SVM,GT-LTAS,0.6231,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,prolongation,SVM,GT-LTAS,0.6247,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,block,LSTM,CQT-LTAS,0.7242,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,interjection,LSTM,CQT-LTAS,0.7523,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,soundrep,LSTM,CQT-LTAS,0.7532,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,wordrep,LSTM,CQT-LTAS,0.7065,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,prolongation,LSTM,CQT-LTAS,0.7637,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,block,LSTM,GT-LTAS,0.7616,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,interjection,LSTM,GT-LTAS,0.6324,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,soundrep,LSTM,GT-LTAS,0.7965,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,wordrep,LSTM,GT-LTAS,0.7710,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,prolongation,LSTM,GT-LTAS,0.7526,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,block,Bi-LSTM,CQT-LTAS,0.7621,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,interjection,Bi-LSTM,CQT-LTAS,0.7541,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,soundrep,Bi-LSTM,CQT-LTAS,0.7876,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,wordrep,Bi-LSTM,CQT-LTAS,0.7865,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,prolongation,Bi-LSTM,CQT-LTAS,0.7723,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,block,Bi-LSTM,GT-LTAS,0.7218,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,interjection,Bi-LSTM,GT-LTAS,0.7232,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,soundrep,Bi-LSTM,GT-LTAS,0.7287,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,wordrep,Bi-LSTM,GT-LTAS,0.7442,[PAPER],10.1109/ICASSP49660.2025.10888625
fluencybank,prolongation,Bi-LSTM,GT-LTAS,0.7587,[PAPER],10.1109/ICASSP49660.2025.10888625
